start_time,drop_after_30_min,temp_difference_at_start,temp_difference_at_end,average_temp_difference,temp_at_start,temp_after_30_min,outside_temp_at_start,outside_temp_after_30_min,cooling_rate
2024-12-01 22:00:00,4.454612731933594,26.097408081054688,22.122128682454427,24.109768381754556,27.021408081054688,22.566795349121094,0.9239999999999999,0.44466666666666665,0.13250931328667537
2024-12-02 11:05:00,4.215240478515625,20.079652221679687,14.485745076497395,17.28269864908854,27.271652221679688,23.056411743164062,7.192,8.570666666666668,0.18646357150607643
2024-12-03 18:10:00,4.012680053710934,22.166853942871093,18.39417388916016,20.28051391601563,27.876853942871094,23.86417388916016,5.71,5.47,0.1257560017903644
2024-12-04 07:27:00,5.051231384277344,23.074771016438802,16.628206298828125,19.851488657633464,26.48143768310547,21.430206298828125,3.4066666666666663,4.802,0.21488549058702258
2024-12-05 21:20:00,4.278564453125,21.88663661702474,17.293405497233074,19.590021057128908,28.559303283691406,24.280738830566406,6.672666666666666,6.987333333333334,0.1531077039930556
2024-12-06 06:59:00,2.741241455078118,19.092943318684892,16.298368530273443,17.69565592447917,26.95960998535156,24.21836853027344,7.866666666666667,7.92,0.09315249294704829
2024-12-06 13:51:00,3.104019165039059,19.693491271972654,17.185472106933595,18.439481689453125,29.189491271972656,26.085472106933597,9.496,8.9,0.0836006388346353
2024-12-07 05:35:00,3.0832290649414027,21.809884338378904,18.263321940104166,20.036603139241535,26.529884338378903,23.4466552734375,4.72,5.183333333333334,0.11821874660915792
2024-12-08 08:06:00,4.455757141113285,23.67425006103516,18.351492919921874,21.012871490478517,27.64225006103516,23.186492919921875,3.968,4.835,0.17742523803710952
2024-12-08 17:25:00,4.3056488037109375,22.747997131347656,17.99834832763672,20.37317272949219,28.157997131347656,23.85234832763672,5.41,5.854,0.15832162679036454
2024-12-09 22:00:00,4.1595458984375036,24.56820926920573,20.03599670410156,22.302102986653644,28.665542602539062,24.50599670410156,4.097333333333333,4.47,0.15107375217013902
2024-12-10 06:32:00,4.6939849853515625,22.604807800292967,17.906822814941407,20.255815307617187,27.21080780029297,22.516822814941406,4.606,4.61,0.15659949951171867
2024-12-10 17:08:00,5.150794982910153,23.950902506510417,18.633440856933596,21.292171681722007,28.40423583984375,23.253440856933597,4.453333333333333,4.62,0.1772487216525607
2024-12-10 20:15:00,4.7065734863281214,24.895567932128902,20.190994445800783,22.54328118896484,29.105567932128903,24.39899444580078,4.21,4.208,0.1568191162109373
2024-12-10 22:27:00,6.545448303222656,23.46047882080078,16.915030517578124,20.187754669189452,27.67047882080078,21.125030517578125,4.21,4.21,0.21818161010742188
2024-12-11 07:30:00,2.2031784057617188,21.306422220865887,18.9665771484375,20.136499684651696,24.81975555419922,22.6165771484375,3.513333333333333,3.65,0.07799483574761285
2024-12-11 09:15:00,3.79486083984375,20.83399670410156,17.04113586425781,18.937566284179685,24.50599670410156,20.71113586425781,3.672,3.67,0.12642869466145826
2024-12-11 12:13:00,3.9222717285156286,20.4043359375,16.51206420898437,18.458200073242185,24.1943359375,20.27206420898437,3.79,3.76,0.12974239095052104
2024-12-14 12:45:00,3.653717041015625,19.648260803222655,15.110168762207032,17.379214782714843,23.928260803222656,20.27454376220703,4.28,5.164375000000001,0.1512697347005208
2024-12-15 14:02:00,3.0239105224609375,20.478114318847656,17.42420379638672,18.95115905761719,26.278114318847656,23.25420379638672,5.8,5.83,0.1017970174153645
